"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000148;0,335354;2,48081;7.400;-24,639;-60
0,000149;0,335354;2,48081;7.450;-55,492;-60
0,00015;0,339394;2,48889;7.500;-55,4636;-60
0,000151;0,339394;2,48485;7.550;-55,3068;-60
0,000152;0,343434;2,49697;7.600;-55,1993;-60
0,000153;0,335354;2,48081;7.650;-55,1278;-60
0,000154;0,339394;2,49697;7.700;-55,6828;-60
0,000155;0,335354;2,47273;7.750;-60;-60
0,000156;0,347475;2,46465;7.800;-28,6638;-60
0,000157;0,335354;2,48889;7.850;-24,2917;-60
0,000158;0,339394;2,48485;7.900;-33,7814;-60
0,000159;0,339394;2,47677;7.950;-53,9671;-60
0,00016;0,335354;2,47677;8.000;-56,2398;-60
0,000161;0,339394;2,47273;8.050;-55,3166;-60
0,000162;0,327273;2,48081;8.100;-55,4374;-60
0,000163;0,339394;2,48485;8.150;-56,0203;-60
0,000164;0,335354;2,48485;8.200;-59,1358;-60
0,000165;0,335354;2,47677;8.250;-44,0192;-60
0,000166;0,339394;2,47677;8.300;-21,9398;-60
0,000167;0,331313;2,47273;8.350;-20,1557;-60
0,000168;0,339394;2,49293;8.400;-33,7909;-60
0,000169;0,347475;2,48081;8.450;-55,407;-60
0,00017;0,343434;2,48081;8.500;-60;-60
0,000171;0,339394;2,48889;8.550;-60;-60
0,000172;0,327273;2,48081;8.600;-59,2945;-60
0,000173;0,339394;2,47677;8.650;-59,9904;-60
0,000174;0,331313;2,48081;8.700;-60;-60
0,000175;0,331313;2,48485;8.750;-41,5416;-60
0,000176;0,335354;2,48889;8.800;-25,2818;-60
0,000177;0,339394;2,50101;8.850;-26,3528;-60
0,000178;0,339394;2,48485;8.900;-44,3145;-60
0,000179;0,335354;2,48889;8.950;-60;-60
0,00018;0,335354;2,48081;9.000;-60;-60
0,000181;0,339394;2,48485;9.050;-60;-60
0,000182;0,339394;2,49293;9.100;-60;-60
0,000183;0,339394;2,48485;9.150;-60;-60
