"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000245;5,13131;0,40404;12.250;-24,1135;-16,5896
0,000246;5,13131;0,40404;12.300;-30,7427;-23,2169
0,000247;5,13131;0,40404;12.350;-60;-60
0,000248;5,13131;0,40404;12.400;-60;-60
0,000249;5,13131;0,40404;12.450;-60;-60
0,00025;5,13131;0,40404;12.500;-60;-60
0,000251;5,13131;0,40404;12.550;-60;-60
0,000252;5,13131;0,40404;12.600;-60;-60
0,000253;5,13131;0,40404;12.650;-60;-51,7977
0,000254;5,13131;0,40404;12.700;-29,7837;-22,3068
0,000255;5,13131;0,363636;12.750;-24,6446;-17,2177
0,000256;5,13131;0,40404;12.800;-34,4507;-27,1076
0,000257;5,13131;0,40404;12.850;-60;-60
0,000258;5,13131;0,40404;12.900;-60;-60
0,000259;5,13131;0,40404;12.950;-60;-60
0,00026;5,13131;0,40404;13.000;-60;-60
0,000261;5,13131;0,40404;13.050;-60;-60
0,000262;5,13131;0,40404;13.100;-60;-60
0,000263;5,13131;0,40404;13.150;-49,0696;-41,1586
0,000264;5,13131;0,40404;13.200;-28,4826;-20,9311
0,000265;5,13131;0,40404;13.250;-26,0709;-18,566
0,000266;5,13131;0,40404;13.300;-40,0968;-32,7713
0,000267;5,13131;0,40404;13.350;-60;-60
0,000268;5,13131;0,40404;13.400;-60;-54,7118
0,000269;5,13131;0,40404;13.450;-60;-53,9661
0,00027;5,13131;0,40404;13.500;-60;-53,1253
0,000271;5,13131;0,40404;13.550;-60;-53,9895
0,000272;5,13131;0,40404;13.600;-60;-60
0,000273;5,13131;0,40404;13.650;-42,7927;-35,219
0,000274;5,13131;0,40404;13.700;-26,0549;-18,6206
0,000275;5,13131;0,40404;13.750;-26,7761;-19,3635
0,000276;5,13131;0,40404;13.800;-44,3598;-37,0923
0,000277;5,13131;0,40404;13.850;-60;-57,7352
0,000278;5,13131;0,40404;13.900;-60;-60
0,000279;5,13131;0,40404;13.950;-60;-60
0,00028;5,13131;0,40404;14.000;-60;-60
0,000281;5,13131;0,40404;14.050;-60;-60
0,000282;5,13131;0,40404;14.100;-60;-60
0,000283;5,13131;0,40404;14.150;-38,8685;-31,2033
0,000284;5,13131;0,40404;14.200;-27,0773;-19,5566
0,000285;5,13131;0,40404;14.250;-30,4128;-22,9662
0,000286;5,13131;0,40404;14.300;-56,0306;-49,6215
0,000287;5,13131;0,40404;14.350;-60;-60
0,000288;5,13131;0,40404;14.400;-60;-57,4823
0,000289;5,13131;0,40404;14.450;-60;-60
0,00029;5,13131;0,40404;14.500;-60;-60
0,000291;5,13131;0,40404;14.550;-60;-58,0853
0,000292;5,13131;0,40404;14.600;-60;-60
0,000293;5,13131;0,40404;14.650;-33,3843;-25,9221
0,000294;5,13131;0,40404;14.700;-24,8159;-17,3593
0,000295;5,13131;0,40404;14.750;-31,3372;-23,8492
0,000296;5,13131;0,40404;14.800;-60;-57,1886
0,000297;5,13131;0,40404;14.850;-60;-60
0,000298;5,13131;0,363636;14.900;-60;-60
0,000299;5,13131;0,40404;14.950;-60;-60
0,0003;5,13131;0,40404;15.000;-60;-60
0,000301;5,13131;0,40404;15.050;-60;-60
0,000302;5,13131;0,40404;15.100;-60;-53,4268
0,000303;5,13131;0,40404;15.150;-33,3932;-25,7794
0,000304;5,13131;0,40404;15.200;-27,9223;-20,3757
0,000305;5,13131;0,40404;15.250;-37,8336;-30,3054
0,000306;5,13131;0,40404;15.300;-60;-60
0,000307;5,13131;0,40404;15.350;-60;-60
0,000308;5,13131;0,40404;15.400;-60;-56,7464
0,000309;5,13131;0,40404;15.450;-60;-56,4702
0,00031;5,13131;0,40404;15.500;-60;-60
0,000311;5,13131;0,40404;15.550;-60;-60
0,000312;5,13131;0,40404;15.600;-50,9492;-43,3433
0,000313;5,13131;0,40404;15.650;-28,1332;-20,7001
0,000314;5,13131;0,40404;15.700;-25,7981;-18,3607
0,000315;5,13131;0,40404;15.750;-38,9947;-31,6888
0,000316;5,13131;0,40404;15.800;-60;-57,5295
0,000317;5,13131;0,40404;15.850;-60;-60
0,000318;5,13131;0,40404;15.900;-60;-60
0,000319;5,13131;0,40404;15.950;-60;-60
0,00032;5,13131;0,40404;16.000;-60;-60
0,000321;5,13131;0,40404;16.050;-60;-59,9162
0,000322;5,13131;0,40404;16.100;-46,5708;-38,8528
0,000323;5,13131;0,40404;16.150;-30,8576;-23,3073
0,000324;5,13131;0,40404;16.200;-31,0596;-23,551
0,000325;5,13131;0,40404;16.250;-49,9263;-43,2245
