"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,00022;5,12727;5,23232;11.000;-58,8616;-60
0,000221;5,13131;5,25253;11.050;-58,9332;-60
0,000222;5,13131;5,23232;11.100;-60;-60
0,000223;5,13131;5,25253;11.150;-60;-60
0,000224;5,13131;5,25253;11.200;-40,7202;-60
0,000225;5,13131;5,23232;11.250;-24,3084;-60
0,000226;5,13131;5,25253;11.300;-25,1985;-60
0,000227;5,13131;5,25253;11.350;-43,0581;-60
0,000228;5,13131;5,23232;11.400;-60;-60
0,000229;5,13131;5,25253;11.450;-60;-60
0,00023;5,13131;5,27273;11.500;-60;-60
0,000231;5,13131;5,25253;11.550;-60;-60
0,000232;5,13131;5,23232;11.600;-60;-60
0,000233;5,12727;5,21212;11.650;-60;-60
0,000234;5,13131;5,23232;11.700;-36,4227;-60
0,000235;5,13131;5,21212;11.750;-24,8576;-60
0,000236;5,13131;5,21212;11.800;-28,3873;-60
0,000237;5,12727;5,25253;11.850;-54,6385;-60
0,000238;5,13131;5,25253;11.900;-60;-60
0,000239;5,12727;5,25253;11.950;-60;-60
0,00024;5,13131;5,21212;12.000;-60;-60
0,000241;5,13131;5,23232;12.050;-60;-60
0,000242;5,13131;5,23232;12.100;-60;-60
0,000243;5,13131;5,23232;12.150;-60;-60
0,000244;5,12727;5,23232;12.200;-32,5757;-60
0,000245;5,13131;5,21212;12.250;-24,1803;-60
0,000246;5,13131;5,25253;12.300;-30,8709;-60
0,000247;5,13131;5,23232;12.350;-60;-60
0,000248;5,13131;5,25253;12.400;-60;-60
0,000249;5,13131;5,25253;12.450;-60;-60
0,00025;5,13131;5,25253;12.500;-60;-60
0,000251;5,13131;5,23232;12.550;-60;-60
0,000252;5,12727;5,25253;12.600;-60;-60
0,000253;5,13131;5,19192;12.650;-58,2554;-60
0,000254;5,13131;5,25253;12.700;-29,9075;-60
0,000255;5,13131;5,23232;12.750;-24,6316;-60
0,000256;5,13131;5,25253;12.800;-34,7314;-60
0,000257;5,13131;5,25253;12.850;-60;-60
0,000258;5,12727;5,25253;12.900;-60;-60
0,000259;5,13131;5,23232;12.950;-60;-60
0,00026;5,12727;5,25253;13.000;-60;-60
0,000261;5,13131;5,25253;13.050;-60;-60
0,000262;5,13131;5,25253;13.100;-60;-60
0,000263;5,13131;5,25253;13.150;-50,995;-60
0,000264;5,13131;5,21212;13.200;-28,4078;-60
0,000265;5,13131;5,27273;13.250;-26,2988;-60
0,000266;5,12727;5,25253;13.300;-39,5579;-60
0,000267;5,13131;5,23232;13.350;-60;-60
0,000268;5,12727;5,21212;13.400;-60;-60
0,000269;5,13131;5,25253;13.450;-60;-60
0,00027;5,12727;5,25253;13.500;-60;-60
0,000271;5,13131;5,25253;13.550;-60;-60
0,000272;5,12727;5,25253;13.600;-60;-60
0,000273;5,13131;5,23232;13.650;-41,9435;-60
0,000274;5,13131;5,25253;13.700;-26,2102;-60
0,000275;5,13131;5,23232;13.750;-26,6949;-60
0,000276;5,12727;5,25253;13.800;-45,6399;-60
0,000277;5,13131;5,21212;13.850;-60;-60
0,000278;5,13131;5,25253;13.900;-60;-60
0,000279;5,13131;5,25253;13.950;-60;-60
0,00028;5,13131;5,25253;14.000;-60;-60
0,000281;5,13131;5,25253;14.050;-60;-60
0,000282;5,13131;5,23232;14.100;-60;-60
0,000283;5,13131;5,23232;14.150;-39,4428;-60
0,000284;5,13131;5,23232;14.200;-27,0655;-60
0,000285;5,13131;5,23232;14.250;-30,7139;-60
0,000286;5,13131;5,25253;14.300;-53,8453;-60
0,000287;5,13131;5,25253;14.350;-60;-60
0,000288;5,13131;5,25253;14.400;-60;-60
0,000289;5,13131;5,25253;14.450;-60;-60
0,00029;5,13131;5,25253;14.500;-60;-60
0,000291;5,13131;5,25253;14.550;-60;-60
0,000292;5,13131;5,25253;14.600;-60;-60
0,000293;5,12727;5,25253;14.650;-33,3648;-60
0,000294;5,13131;5,21212;14.700;-24,869;-60
0,000295;5,13131;5,25253;14.750;-31,366;-60
0,000296;5,13131;5,25253;14.800;-60;-60
0,000297;5,13131;5,25253;14.850;-60;-60
0,000298;5,13131;5,25253;14.900;-60;-60
0,000299;5,13131;5,23232;14.950;-60;-60
0,0003;5,13131;5,25253;15.000;-60;-60
0,000301;5,13131;5,25253;15.050;-60;-60
0,000302;5,13131;5,25253;15.100;-60;-60
0,000303;5,13131;5,25253;15.150;-33,3593;-60
0,000304;5,13131;5,25253;15.200;-28,1177;-60
0,000305;5,13131;5,23232;15.250;-37,7275;-60
0,000306;5,13131;5,25253;15.300;-60;-60
0,000307;5,13131;5,23232;15.350;-60;-60
0,000308;5,13131;5,27273;15.400;-60;-60
0,000309;5,13131;5,25253;15.450;-60;-60
0,00031;5,13131;5,23232;15.500;-60;-60
0,000311;5,13131;5,23232;15.550;-60;-60
0,000312;5,13131;5,25253;15.600;-49,1123;-60
0,000313;5,13131;5,25253;15.650;-28,2488;-60
0,000314;5,13131;5,23232;15.700;-25,7571;-60
0,000315;5,13131;5,23232;15.750;-39,4867;-60
0,000316;5,13131;5,25253;15.800;-60;-60
0,000317;5,12727;5,23232;15.850;-60;-60
0,000318;5,12727;5,23232;15.900;-60;-60
0,000319;5,12727;5,25253;15.950;-60;-60
0,00032;5,13131;5,25253;16.000;-60;-60
0,000321;5,13131;5,23232;16.050;-60;-60
0,000322;5,13131;5,25253;16.100;-48,1348;-60
0,000323;5,13131;5,25253;16.150;-30,735;-60
0,000324;5,13131;5,25253;16.200;-31,4367;-60
0,000325;5,13131;5,25253;16.250;-48,2235;-60
0,000326;5,12727;5,25253;16.300;-60;-60
0,000327;5,13131;5,21212;16.350;-60;-60
0,000328;5,13131;5,25253;16.400;-60;-60
0,000329;5,12727;5,25253;16.450;-60;-60
0,00033;5,12727;5,25253;16.500;-60;-60
0,000331;5,13131;5,25253;16.550;-60;-60
0,000332;5,12727;5,25253;16.600;-37,8105;-60
0,000333;5,13131;5,25253;16.650;-25,7488;-60
0,000334;5,13131;5,25253;16.700;-29,0248;-60
0,000335;5,13131;5,23232;16.750;-53,7271;-60
0,000336;5,12727;5,25253;16.800;-60;-60
0,000337;5,13131;5,25253;16.850;-60;-60
