"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000135;5,13131;0,40404;6.750;-60;-60
0,000136;5,13131;0,40404;6.800;-36,0462;-27,3797
0,000137;5,13131;0,40404;6.850;-24,109;-16,2439
0,000138;5,13131;0,40404;6.900;-28,2981;-20,4787
0,000139;5,13131;0,40404;6.950;-51,5194;-46,142
0,00014;5,13131;0,40404;7.000;-60;-42,0139
0,000141;5,13131;0,40404;7.050;-60;-40,3098
0,000142;5,13131;0,40404;7.100;-60;-60
0,000143;5,13131;0,40404;7.150;-60;-42,6043
0,000144;5,13131;0,40404;7.200;-60;-39,1451
0,000145;5,13131;0,40404;7.250;-60;-51,2041
0,000146;5,13131;0,40404;7.300;-25,7335;-23,2119
0,000147;5,13131;0,40404;7.350;-17,7412;-15,0696
0,000148;5,13131;0,40404;7.400;-24,7418;-21,931
0,000149;5,13131;0,40404;7.450;-60;-47,1854
0,00015;5,13131;0,40404;7.500;-60;-41,1842
0,000151;5,13131;0,40404;7.550;-60;-43,2637
0,000152;5,13131;0,40404;7.600;-60;-60
0,000153;5,13131;0,40404;7.650;-60;-48,0498
0,000154;5,13131;0,40404;7.700;-60;-49,5198
0,000155;5,13131;0,40404;7.750;-59,9211;-48,0123
0,000156;5,13131;0,40404;7.800;-28,9077;-20,2392
0,000157;5,13131;0,40404;7.850;-24,1695;-15,4497
0,000158;5,13131;0,40404;7.900;-34,1938;-25,9732
0,000159;5,13131;0,40404;7.950;-60;-52,4858
0,00016;5,13131;0,40404;8.000;-60;-41,5357
0,000161;5,13131;0,40404;8.050;-60;-49,6588
0,000162;5,13131;0,40404;8.100;-60;-57,7143
0,000163;5,13131;0,444444;8.150;-60;-40,6335
0,000164;5,13131;0,40404;8.200;-60;-41,6996
0,000165;5,13131;0,40404;8.250;-42,405;-41,9273
0,000166;5,13131;0,444444;8.300;-22,042;-20,5007
0,000167;5,13131;0,40404;8.350;-20,0068;-18,244
0,000168;5,13131;0,40404;8.400;-34,3527;-31,9467
0,000169;5,13131;0,40404;8.450;-60;-44,9793
0,00017;5,13131;0,40404;8.500;-57,7914;-44,4493
0,000171;5,13131;0,40404;8.550;-57,1303;-46,2902
0,000172;5,13131;0,40404;8.600;-56,7826;-53,224
0,000173;5,13131;0,40404;8.650;-57,6708;-41,1072
0,000174;5,13131;0,40404;8.700;-60;-49,3317
0,000175;5,13131;0,444444;8.750;-41,7919;-31,8765
0,000176;5,13131;0,40404;8.800;-25,2439;-16,2073
0,000177;5,13131;0,40404;8.850;-26,3911;-17,2625
0,000178;5,13131;0,40404;8.900;-43,961;-36,764
0,000179;5,13131;0,40404;8.950;-60;-53,8391
0,00018;5,13131;0,444444;9.000;-60;-44,7602
0,000181;5,13131;0,40404;9.050;-60;-60
0,000182;5,13131;0,40404;9.100;-60;-48,1468
0,000183;5,13131;0,40404;9.150;-60;-42,4955
0,000184;5,13131;0,40404;9.200;-60;-49,7303
0,000185;5,13131;0,40404;9.250;-32,326;-31,6995
0,000186;5,13131;0,40404;9.300;-20,8196;-19,9761
0,000187;5,13131;0,40404;9.350;-24,5563;-23,4829
0,000188;5,13131;0,40404;9.400;-50,6693;-44,2509
0,000189;5,13131;0,40404;9.450;-60;-42,765
0,00019;5,13131;0,40404;9.500;-60;-45,0433
0,000191;5,13131;0,444444;9.550;-60;-52,9342
0,000192;5,13131;0,444444;9.600;-60;-47,7835
0,000193;5,13131;0,40404;9.650;-60;-43,068
0,000194;5,13131;0,484848;9.700;-60;-51,1991
0,000195;5,13131;0,484848;9.750;-32,3481;-22,8013
0,000196;5,13131;0,444444;9.800;-24,1192;-14,789
0,000197;5,13131;0,444444;9.850;-30,9684;-21,7875
0,000198;5,13131;0,444444;9.900;-60;-57,2256
0,000199;5,13131;0,444444;9.950;-60;-47,0718
0,0002;5,13131;0,40404;10.000;-60;-50,1403
0,000201;5,13131;0,40404;10.050;-60;-57,87
0,000202;5,13131;0,40404;10.100;-60;-47,2623
0,000203;5,13131;0,40404;10.150;-60;-46,2
0,000204;5,13131;0,40404;10.200;-55,0172;-60
0,000205;5,13131;0,40404;10.250;-26,8963;-26,8031
0,000206;5,13131;0,40404;10.300;-21,7837;-21,3267
0,000207;5,13131;0,40404;10.350;-32,0182;-31,3307
0,000208;5,13131;0,444444;10.400;-60;-48,1742
0,000209;5,13131;0,40404;10.450;-60;-44,4745
0,00021;5,13131;0,40404;10.500;-60;-46,8363
0,000211;5,13131;0,40404;10.550;-60;-54,1029
0,000212;5,13131;0,444444;10.600;-60;-43,6559
0,000213;5,13131;0,40404;10.650;-60;-46,473
0,000214;5,13131;0,40404;10.700;-49,3771;-38,3441
0,000215;5,13131;0,40404;10.750;-27,1309;-17,7562
0,000216;5,13131;0,444444;10.800;-25,1995;-15,7281
0,000217;5,13131;0,40404;10.850;-38,6329;-29,8681
0,000218;5,13131;0,40404;10.900;-60;-56,5209
0,000219;5,13131;0,40404;10.950;-60;-48,5356
0,00022;5,13131;0,40404;11.000;-60;-57,6172
0,000221;5,13131;0,40404;11.050;-60;-55,4631
0,000222;5,13131;0,444444;11.100;-60;-48,6466
0,000223;5,13131;0,40404;11.150;-60;-48,7708
0,000224;5,13131;0,40404;11.200;-39,8287;-39,7877
0,000225;5,13131;0,484848;11.250;-24,325;-24,5959
0,000226;5,13131;0,484848;11.300;-24,9617;-24,9722
0,000227;5,13131;0,444444;11.350;-44,1732;-43,9028
0,000228;5,13131;0,444444;11.400;-60;-48,8964
0,000229;5,13131;0,40404;11.450;-60;-46,682
0,00023;5,13131;0,444444;11.500;-60;-51,3739
0,000231;5,13131;0,40404;11.550;-60;-48,9586
0,000232;5,13131;0,40404;11.600;-60;-45,207
0,000233;5,13131;0,40404;11.650;-60;-55,9336
0,000234;5,13131;0,484848;11.700;-36,8342;-26,9439
0,000235;5,13131;0,444444;11.750;-24,7559;-15,3248
0,000236;5,13131;0,444444;11.800;-28,5244;-19,0749
0,000237;5,13131;0,40404;11.850;-51,9012;-44,6468
0,000238;5,13131;0,444444;11.900;-60;-60
0,000239;5,13131;0,484848;11.950;-60;-53,8346
0,00024;5,13131;0,444444;12.000;-60;-60
0,000241;5,13131;0,40404;12.050;-60;-55,8286
0,000242;5,13131;0,40404;12.100;-60;-52,1523
0,000243;5,13131;0,444444;12.150;-60;-58,2006
0,000244;5,13131;0,444444;12.200;-32,3793;-33,5663
0,000245;5,13131;0,444444;12.250;-24,0836;-25,2798
0,000246;5,13131;0,565657;12.300;-30,7337;-31,9307
0,000247;5,13131;0,484848;12.350;-60;-52,4338
0,000248;5,13131;0,444444;12.400;-60;-48,2978
0,000249;5,13131;0,40404;12.450;-60;-49,6462
0,00025;5,13131;0,444444;12.500;-60;-56,5298
0,000251;5,13131;0,525253;12.550;-60;-49,4473
0,000252;5,13131;0,40404;12.600;-60;-49,7812
0,000253;5,13131;0,40404;12.650;-60;-46,3565
0,000254;5,13131;0,40404;12.700;-29,8222;-20,4414
0,000255;5,13131;0,40404;12.750;-24,6837;-15,364
0,000256;5,13131;0,444444;12.800;-34,5019;-25,5287
0,000257;5,13131;0,444444;12.850;-60;-57,7942
0,000258;5,13131;0,484848;12.900;-60;-51,6169
0,000259;5,13131;0,444444;12.950;-60;-52,0249
0,00026;5,13131;0,40404;13.000;-60;-54,715
0,000261;5,13131;0,444444;13.050;-60;-50,8649
0,000262;5,13131;0,484848;13.100;-60;-52,849
0,000263;5,13131;0,444444;13.150;-48,9295;-49,923
0,000264;5,13131;0,40404;13.200;-28,4413;-31,2701
0,000265;5,13131;0,484848;13.250;-26,0348;-28,467
0,000266;5,13131;0,444444;13.300;-40,1373;-44,7541
0,000267;5,13131;0,484848;13.350;-60;-56,8681
0,000268;5,13131;0,40404;13.400;-60;-48,7134
0,000269;5,13131;0,40404;13.450;-60;-54,4707
0,00027;5,13131;0,484848;13.500;-60;-56,0318
0,000271;5,13131;0,484848;13.550;-60;-49,2909
