,simulation,total_demand,total_generation,capacity,max_power_charging,max_power_discharging,costs,ssr,scr
36,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.1,633.8184873506734,0.2731871154888381,0.9360555638145043
37,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.2,635.9227299035996,0.27077413664690475,0.9277317657356986
38,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.3,638.6815945456133,0.2676104889962668,0.916818464807084
39,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.4,639.9058621896646,0.26620659574363226,0.9119756026335532
40,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.5,640.54698197456,0.2654714103088799,0.9094395111424011
41,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.1,633.6186920280234,0.27341622495419005,0.9360547541678549
42,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.2,635.7408831397106,0.27098266412541605,0.9276599565843935
43,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.3,638.4815945456132,0.26783983316940674,0.9168184648070841
44,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.4,639.7248095646646,0.26641421256650943,0.9119006520897557
45,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.5,640.3809356134489,0.2656618191358395,0.9093051999938319
46,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.1,633.4186920280234,0.27364556912732996,0.9360547541678549
47,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.2,635.5595231952661,0.2711906333579128,0.9275862217108133
48,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.3,638.3035456011687,0.2680440056091171,0.9167316325387188
49,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.4,639.534253036887,0.2666327277130074,0.9118632963410892
50,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.5,640.2043985301156,0.2658642578928676,0.9092123872235542
